Frequency (Hz)	|	Gain (dB)
718.000000	|	-21.425658
719.000000	|	-21.425659
720.000000	|	-21.425660
721.000000	|	-21.425660
722.000000	|	-21.425660
723.000000	|	-21.425660
724.000000	|	-21.425660
725.000000	|	-21.425660
726.000000	|	-21.425664
727.000000	|	-21.425682
728.000000	|	-21.425821
729.000000	|	-21.426939
730.000000	|	-21.431411
731.000000	|	-21.468147
732.000000	|	-21.513033
733.000000	|	-21.535415
734.000000	|	-21.557797
735.000000	|	-21.567886
736.000000	|	-21.577975
737.000000	|	-21.586797
738.000000	|	-21.586819
739.000000	|	-21.586862
740.000000	|	-21.586883
741.000000	|	-21.590793
742.000000	|	-21.594702
743.000000	|	-21.602534
744.000000	|	-21.610306
745.000000	|	-21.613732
746.000000	|	-21.615215
747.000000	|	-21.616698
748.000000	|	-21.630094
749.000000	|	-21.656885
750.000000	|	-21.670280
751.000000	|	-21.680620
752.000000	|	-21.701301
753.000000	|	-21.711641
754.000000	|	-21.711666
755.000000	|	-21.711715
756.000000	|	-21.711721
757.000000	|	-21.711727
758.000000	|	-21.711729
759.000000	|	-21.711729
760.000000	|	-21.711730
761.000000	|	-21.711730
762.000000	|	-21.711730
763.000000	|	-21.711733
764.000000	|	-21.711734
765.000000	|	-21.711740
766.000000	|	-21.711745
767.000000	|	-21.711767
768.000000	|	-21.711857
769.000000	|	-21.712217
770.000000	|	-21.713671
771.000000	|	-21.714548
772.000000	|	-21.716301
773.000000	|	-21.717178
774.000000	|	-21.717709
775.000000	|	-21.718770
776.000000	|	-21.719301
777.000000	|	-21.741872
778.000000	|	-21.753030
779.000000	|	-21.758546
780.000000	|	-21.764062
781.000000	|	-21.795318
782.000000	|	-21.810558
783.000000	|	-21.817984
784.000000	|	-21.825410
785.000000	|	-21.826910
786.000000	|	-21.829909
787.000000	|	-21.830540
788.000000	|	-21.831171
789.000000	|	-21.861194
790.000000	|	-21.891216
791.000000	|	-21.891355
792.000000	|	-21.891631
793.000000	|	-21.891770
794.000000	|	-21.894804
795.000000	|	-21.897838
796.000000	|	-21.899641
797.000000	|	-21.899712
798.000000	|	-21.899854
799.000000	|	-21.899925
800.000000	|	-21.902844
801.000000	|	-21.905763
802.000000	|	-21.908740
803.000000	|	-21.915532
804.000000	|	-21.929116
805.000000	|	-21.935908
806.000000	|	-21.941907
807.000000	|	-21.947907
808.000000	|	-21.989182
809.000000	|	-22.009123
810.000000	|	-22.029063
811.000000	|	-22.038434
812.000000	|	-22.047805
813.000000	|	-22.052491
814.000000	|	-22.054834
815.000000	|	-22.055419
816.000000	|	-22.055428
817.000000	|	-22.055446
818.000000	|	-22.055447
819.000000	|	-22.055448
820.000000	|	-22.055448
821.000000	|	-22.055448
822.000000	|	-22.055448
823.000000	|	-22.055448
824.000000	|	-22.055448
825.000000	|	-22.055448
826.000000	|	-22.055448
827.000000	|	-22.055448
828.000000	|	-22.055448
829.000000	|	-22.055448
830.000000	|	-22.055448
831.000000	|	-22.055448
832.000000	|	-22.055448
833.000000	|	-22.055451
834.000000	|	-22.055477
835.000000	|	-22.055679
836.000000	|	-22.056487
837.000000	|	-22.059722
838.000000	|	-22.061340
839.000000	|	-22.067809
840.000000	|	-22.074279
841.000000	|	-22.104265
842.000000	|	-22.132635
843.000000	|	-22.132668
844.000000	|	-22.132734
845.000000	|	-22.132767
846.000000	|	-22.133465
847.000000	|	-22.134164
848.000000	|	-22.135767
849.000000	|	-22.140368
850.000000	|	-22.161755
851.000000	|	-22.172448
852.000000	|	-22.190071
853.000000	|	-22.207694
854.000000	|	-22.213319
855.000000	|	-22.214275
856.000000	|	-22.214505
857.000000	|	-22.214613
858.000000	|	-22.214662
859.000000	|	-22.214712
860.000000	|	-22.215084
861.000000	|	-22.215456
862.000000	|	-22.216405
863.000000	|	-22.217232
864.000000	|	-22.217625
865.000000	|	-22.217658
866.000000	|	-22.217724
867.000000	|	-22.217757
868.000000	|	-22.217929
869.000000	|	-22.218101
870.000000	|	-22.218951
