Frequency (Hz)	|	Gain (dB)
928.000000	|	-22.785451
929.000000	|	-22.785451
930.000000	|	-22.785451
931.000000	|	-22.785451
932.000000	|	-22.785451
933.000000	|	-22.785451
934.000000	|	-22.785451
935.000000	|	-22.785449
936.000000	|	-22.785439
937.000000	|	-22.785361
938.000000	|	-22.780334
939.000000	|	-22.699908
940.000000	|	-22.659695
941.000000	|	-22.498843
942.000000	|	-22.337991
943.000000	|	-22.057968
944.000000	|	-21.135253
945.000000	|	-20.799281
946.000000	|	-20.472528
947.000000	|	-20.178383
948.000000	|	-19.730337
949.000000	|	-19.282854
950.000000	|	-18.392980
951.000000	|	-18.361151
952.000000	|	-18.297494
953.000000	|	-18.265665
954.000000	|	-17.725735
955.000000	|	-16.809329
956.000000	|	-16.733312
957.000000	|	-16.714307
958.000000	|	-16.704806
959.000000	|	-16.700055
960.000000	|	-16.697680
961.000000	|	-16.697679
962.000000	|	-16.697679
963.000000	|	-16.697679
964.000000	|	-16.697679
965.000000	|	-16.697679
966.000000	|	-16.697679
967.000000	|	-16.697679
968.000000	|	-16.697679
969.000000	|	-16.697679
970.000000	|	-16.701291
971.000000	|	-17.163539
972.000000	|	-17.562939
973.000000	|	-18.186850
974.000000	|	-18.796291
975.000000	|	-19.238298
976.000000	|	-19.616386
977.000000	|	-20.107401
978.000000	|	-20.553701
979.000000	|	-20.790553
980.000000	|	-21.020414
981.000000	|	-21.250275
982.000000	|	-21.595434
983.000000	|	-21.940593
984.000000	|	-22.486040
985.000000	|	-22.764964
986.000000	|	-22.838587
987.000000	|	-22.905526
988.000000	|	-22.972466
989.000000	|	-23.025755
990.000000	|	-23.025964
991.000000	|	-23.025964
992.000000	|	-23.025964
993.000000	|	-23.025964
994.000000	|	-23.025964
995.000000	|	-23.025964
996.000000	|	-23.025964
997.000000	|	-23.025964
998.000000	|	-23.025964
999.000000	|	-23.025964
1000.000000	|	-23.025964
1001.000000	|	-23.025964
1002.000000	|	-23.025961
1003.000000	|	-23.025843
1004.000000	|	-22.965473
1005.000000	|	-22.863432
1006.000000	|	-22.156568
1007.000000	|	-21.876582
1008.000000	|	-21.742085
1009.000000	|	-21.527617
1010.000000	|	-21.494516
1011.000000	|	-21.490378
1012.000000	|	-21.482103
1013.000000	|	-21.482103
1014.000000	|	-21.482103
1015.000000	|	-21.482103
1016.000000	|	-21.482103
1017.000000	|	-21.482103
1018.000000	|	-21.482103
1019.000000	|	-21.482103
1020.000000	|	-21.482103
1021.000000	|	-21.482106
1022.000000	|	-21.482119
1023.000000	|	-21.482530
1024.000000	|	-21.508857
1025.000000	|	-21.614166
1026.000000	|	-21.704263
1027.000000	|	-21.914043
1028.000000	|	-22.516061
1029.000000	|	-22.694003
1030.000000	|	-23.042358
1031.000000	|	-23.390713
1032.000000	|	-23.441719
1033.000000	|	-23.442742
1034.000000	|	-23.443766
1035.000000	|	-23.812856
1036.000000	|	-24.181946
1037.000000	|	-24.255446
1038.000000	|	-24.328946
1039.000000	|	-24.365696
1040.000000	|	-24.384071
1041.000000	|	-24.384072
1042.000000	|	-24.384072
1043.000000	|	-24.384073
1044.000000	|	-24.384073
1045.000000	|	-24.384073
1046.000000	|	-24.384073
1047.000000	|	-24.384073
1048.000000	|	-24.384073
